Play1Id,Strik1ate>Mean,Manofthematch,5ckets_inhand,MatchType,InningsType,Opposition,Runs,Result
1,1,0,6,3,0,4,54,0
1,1,0,7,2,1,1,32,1
1,1,0,8,1,0,6,36,1
2,1,1,7,1,1,1,79,1
3,0,0,8,1,1,6,39,1
3,1,1,8,1,0,3,83,1
3,0,0,8,2,1,1,30,1
3,0,0,8,1,1,1,44,1
4,1,1,7,1,1,6,65,1
5,1,0,10,3,0,4,96,0
6,1,0,10,0,1,4,54,1
6,1,0,10,3,0,1,54,0
6,1,1,10,1,0,6,45,1
7,0,0,10,2,0,1,63,1
7,0,0,10,3,0,1,50,0
8,1,1,4,1,1,2,75,1
8,1,0,5,1,0,5,41,0
9,1,0,10,0,1,4,37,1
9,1,1,8,3,1,5,134,1
10,1,0,9,2,1,3,56,1
10,1,0,9,1,1,6,44,1
10,0,0,9,0,1,4,30,1
11,1,1,8,2,1,3,58,1
11,1,0,7,3,1,5,44,1
12,1,0,10,1,0,3,62,0
13,0,0,6,2,1,5,43,0
14,1,0,10,3,0,3,36,1
14,1,0,10,1,0,4,44,1
14,0,0,10,1,1,1,45,0
14,1,0,10,3,0,2,66,0
14,1,0,10,1,1,2,38,1
14,1,0,10,1,1,5,35,0
14,1,0,10,2,1,2,33,1
15,1,0,9,3,0,2,64,0
15,1,0,8,1,1,2,37,1
16,1,0,6,1,0,5,30,0
16,1,0,6,1,0,4,41,1
17,1,1,9,3,0,3,68,1
17,1,0,9,1,1,1,31,0
17,1,1,9,2,1,2,65,1
18,1,0,7,3,0,3,35,1
18,1,0,7,3,0,2,60,0
19,1,0,8,3,0,3,54,1
20,1,0,10,1,1,2,42,1
20,1,0,10,2,1,2,55,1
21,1,1,10,1,1,4,68,1
21,0,0,10,3,1,6,47,1
21,0,0,10,2,0,6,41,0
22,0,0,9,1,1,4,38,1
22,1,1,9,3,1,6,73,1
22,0,0,10,1,0,6,43,0
22,1,0,9,2,0,6,44,0
23,1,0,8,3,1,6,62,1
24,1,0,10,1,1,4,47,1
24,1,0,10,0,1,3,30,0
25,1,0,5,1,0,1,49,0
26,0,0,9,1,1,5,40,0
26,0,0,8,0,0,2,50,1
26,0,0,8,2,0,4,50,0
26,0,0,9,1,1,1,32,1
27,1,0,7,3,1,6,30,0
27,0,0,7,2,0,1,48,0
27,1,0,7,1,1,1,32,1
28,1,0,8,1,1,5,43,0
28,0,0,8,2,0,4,62,0
29,1,1,10,1,1,1,61,1
30,1,1,8,3,1,5,92,1
30,1,0,8,1,1,6,34,0
30,1,0,8,2,1,3,43,0
31,0,0,9,3,1,5,61,1
31,1,0,9,0,0,1,55,0
31,1,0,9,0,0,5,35,0
32,1,0,7,1,0,2,55,0
32,1,1,7,2,1,3,46,0
33,1,0,6,2,1,3,37,0
34,1,0,10,3,1,5,30,1
