Season,Name,PlayerId,StrikeRate>Mean,Manofthematch,Wickets_inhand,MatchType,InningsType,Result,Opposition,Runs,TeamName
Global T20 Canada 2018,AD Russell,1,1,0,6,3,0,0,TN,54,Vancouver Knights
Global T20 Canada 2018,AD Russell,1,1,0,7,2,1,1,WI,32,Vancouver Knights
Global T20 Canada 2018,AD Russell,1,1,0,8,1,0,1,WH,36,Vancouver Knights
Global T20 Canada 2018,Saad Bin Zafar,2,1,1,7,1,1,1,WI,79,Vancouver Knights
Global T20 Canada 2018,HE van der Dussen,3,0,0,8,1,1,1,WH,39,Vancouver Knights
Global T20 Canada 2018,HE van der Dussen,3,1,1,8,1,0,1,MT,83,Vancouver Knights
Global T20 Canada 2018,HE van der Dussen,3,0,0,8,2,1,1,WI,30,Vancouver Knights
Global T20 Canada 2018,HE van der Dussen,3,0,0,8,1,1,1,WI,44,Vancouver Knights
Global T20 Canada 2018,Babar Hayat,4,1,1,7,1,1,1,WH,65,Vancouver Knights
Global T20 Canada 2018,E Lewis,5,1,0,10,3,0,0,TN,96,Vancouver Knights
Global T20 Canada 2018,CAK Walton,6,1,0,10,0,1,1,TN,54,Vancouver Knights
Global T20 Canada 2018,CAK Walton,6,1,0,10,3,0,0,WI,54,Vancouver Knights
Global T20 Canada 2018,CAK Walton,6,1,1,10,1,0,1,WH,45,Vancouver Knights
Global T20 Canada 2018,CH Gayle,7,0,0,10,2,0,1,WI,63,Vancouver Knights
Global T20 Canada 2018,CH Gayle,7,0,0,10,3,0,0,WI,50,Vancouver Knights
Global T20 Canada 2018,FA Allen,8,1,1,4,1,1,1,ER,75,West Indies B
Global T20 Canada 2018,FA Allen,8,1,0,5,1,0,0,VK,41,West Indies B
Global T20 Canada 2018,SE Rutherford,9,1,0,10,0,1,1,TN,37,West Indies B
Global T20 Canada 2018,SE Rutherford,9,1,1,8,3,1,1,VK,134,West Indies B
Global T20 Canada 2018,BA King,10,1,0,9,2,1,1,MT,56,West Indies B
Global T20 Canada 2018,BA King,10,1,0,9,1,1,1,WH,44,West Indies B
Global T20 Canada 2018,BA King,10,0,0,9,0,1,1,TN,30,West Indies B
Global T20 Canada 2018,N Pooran,11,1,1,8,2,1,1,MT,58,West Indies B
Global T20 Canada 2018,N Pooran,11,1,0,7,3,1,1,VK,44,West Indies B
Global T20 Canada 2018,SK Springer,12,1,0,10,1,0,0,MT,62,West Indies B
Global T20 Canada 2018,KAR Hodge,13,0,0,6,2,1,0,VK,43,West Indies B
Global T20 Canada 2018,LMP Simmons,14,1,0,10,3,0,1,MT,36,Winnipeg Hawks
Global T20 Canada 2018,LMP Simmons,14,1,0,10,1,0,1,TN,44,Winnipeg Hawks
Global T20 Canada 2018,LMP Simmons,14,0,0,10,1,1,0,WI,45,Winnipeg Hawks
Global T20 Canada 2018,LMP Simmons,14,1,0,10,3,0,0,ER,66,Winnipeg Hawks
Global T20 Canada 2018,LMP Simmons,14,1,0,10,1,1,1,ER,38,Winnipeg Hawks
Global T20 Canada 2018,LMP Simmons,14,1,0,10,1,1,0,VK,35,Winnipeg Hawks
Global T20 Canada 2018,LMP Simmons,14,1,0,10,2,1,1,ER,33,Winnipeg Hawks
Global T20 Canada 2018,M Deyal,15,1,0,9,3,0,0,ER,64,Winnipeg Hawks
Global T20 Canada 2018,M Deyal,15,1,0,8,1,1,1,ER,37,Winnipeg Hawks
Global T20 Canada 2018,DJ Bravo,16,1,0,6,1,0,0,VK,30,Winnipeg Hawks
Global T20 Canada 2018,DJ Bravo,16,1,0,6,1,0,1,TN,41,Winnipeg Hawks
Global T20 Canada 2018,BR McDermott,17,1,1,9,3,0,1,MT,68,Winnipeg Hawks
Global T20 Canada 2018,BR McDermott,17,1,0,9,1,1,0,WI,31,Winnipeg Hawks
Global T20 Canada 2018,BR McDermott,17,1,1,9,2,1,1,ER,65,Winnipeg Hawks
Global T20 Canada 2018,DA Miller,18,1,0,7,3,0,1,MT,35,Winnipeg Hawks
Global T20 Canada 2018,DA Miller,18,1,0,7,3,0,0,ER,60,Winnipeg Hawks
Global T20 Canada 2018,DM Bravo,19,1,0,8,3,0,1,MT,54,Winnipeg Hawks
Global T20 Canada 2018,DA Warner,20,1,0,10,1,1,1,ER,42,Winnipeg Hawks
Global T20 Canada 2018,DA Warner,20,1,0,10,2,1,1,ER,55,Winnipeg Hawks
Global T20 Canada 2018,ADS Fletcher,21,1,1,10,1,1,1,TN,68,Edmonton Royals
Global T20 Canada 2018,ADS Fletcher,21,0,0,10,3,1,1,WH,47,Edmonton Royals
Global T20 Canada 2018,ADS Fletcher,21,0,0,10,2,0,0,WH,41,Edmonton Royals
Global T20 Canada 2018,Agha Salman,22,0,0,9,1,1,1,TN,38,Edmonton Royals
Global T20 Canada 2018,Agha Salman,22,1,1,9,3,1,1,WH,73,Edmonton Royals
Global T20 Canada 2018,Agha Salman,22,0,0,10,1,0,0,WH,43,Edmonton Royals
Global T20 Canada 2018,Agha Salman,22,1,0,9,2,0,0,WH,44,Edmonton Royals
Global T20 Canada 2018,F Behardien,23,1,0,8,3,1,1,WH,62,Edmonton Royals
Global T20 Canada 2018,L Ronchi,24,1,0,10,1,1,1,TN,47,Edmonton Royals
Global T20 Canada 2018,L Ronchi,24,1,0,10,0,1,0,MT,30,Edmonton Royals
Global T20 Canada 2018,KJ O'Brien,25,1,0,5,1,0,0,WI,49,Edmonton Royals
Global T20 Canada 2018,MC Henriques,26,0,0,9,1,1,0,VK,40,Montreal Tigers
Global T20 Canada 2018,MC Henriques,26,0,0,8,0,0,1,ER,50,Montreal Tigers
Global T20 Canada 2018,MC Henriques,26,0,0,8,2,0,0,TN,50,Montreal Tigers
Global T20 Canada 2018,MC Henriques,26,0,0,9,1,1,1,WI,32,Montreal Tigers
Global T20 Canada 2018,Sikandar Raza,27,1,0,7,3,1,0,WH,30,Montreal Tigers
Global T20 Canada 2018,Sikandar Raza,27,0,0,7,2,0,0,WI,48,Montreal Tigers
Global T20 Canada 2018,Sikandar Raza,27,1,0,7,1,1,1,WI,32,Montreal Tigers
Global T20 Canada 2018,GH Worker,28,1,0,8,1,1,0,VK,43,Montreal Tigers
Global T20 Canada 2018,GH Worker,28,0,0,8,2,0,0,TN,62,Montreal Tigers
Global T20 Canada 2018,SP Narine,29,1,1,10,1,1,1,WI,61,Montreal Tigers
Global T20 Canada 2018,AP Devcich,30,1,1,8,3,1,1,VK,92,Toronto Nationals
Global T20 Canada 2018,AP Devcich,30,1,0,8,1,1,0,WH,34,Toronto Nationals
Global T20 Canada 2018,AP Devcich,30,1,0,8,2,1,0,MT,43,Toronto Nationals
Global T20 Canada 2018,SPD Smith,31,0,0,9,3,1,1,VK,61,Toronto Nationals
Global T20 Canada 2018,SPD Smith,31,1,0,9,0,0,0,WI,55,Toronto Nationals
Global T20 Canada 2018,SPD Smith,31,1,0,9,0,0,0,VK,35,Toronto Nationals
Global T20 Canada 2018,NR Kumar,32,1,0,7,1,0,0,ER,55,Toronto Nationals
Global T20 Canada 2018,NR Kumar,32,1,1,7,2,1,0,MT,46,Toronto Nationals
Global T20 Canada 2018,KA Pollard,33,1,0,6,2,1,0,MT,37,Toronto Nationals
Global T20 Canada 2018,J Charles,34,1,0,10,3,1,1,VK,30,Toronto Nationals
