PlayerId,StrikeRate>Mean,Manofthematch,Wickets_inhand,MatchType,InningsType,Result,Opposition,Runs
1,1,0,6,3,0,0,3,54
1,1,0,7,2,1,1,5,32
1,1,0,8,1,0,1,5,36
2,1,1,7,1,1,1,5,79
3,0,0,8,1,1,1,5,39
3,1,1,8,1,0,1,2,83
3,0,0,8,2,1,1,5,30
3,0,0,8,1,1,1,5,44
4,1,1,7,1,1,1,5,65
5,1,0,10,3,0,0,3,96
6,1,0,10,0,1,1,3,54
6,1,0,10,3,0,0,5,54
6,1,1,10,1,0,1,5,45
7,0,0,10,2,0,1,5,63
7,0,0,10,3,0,0,5,50
8,1,1,4,1,1,1,1,75
8,1,0,5,1,0,0,4,41
9,1,0,10,0,1,1,3,37
9,1,1,8,3,1,1,4,134
10,1,0,9,2,1,1,2,56
10,1,0,9,1,1,1,5,44
10,0,0,9,0,1,1,3,30
11,1,1,8,2,1,1,2,58
11,1,0,7,3,1,1,4,44
12,1,0,10,1,0,0,2,62
13,0,0,6,2,1,0,4,43
14,1,0,10,3,0,1,2,36
14,1,0,10,1,0,1,3,44
14,0,0,10,1,1,0,5,45
14,1,0,10,3,0,0,1,66
14,1,0,10,1,1,1,1,38
14,1,0,10,1,1,0,4,35
14,1,0,10,2,1,1,1,33
15,1,0,9,3,0,0,1,64
15,1,0,8,1,1,1,1,37
16,1,0,6,1,0,0,4,30
16,1,0,6,1,0,1,3,41
17,1,1,9,3,0,1,2,68
17,1,0,9,1,1,0,5,31
17,1,1,9,2,1,1,1,65
18,1,0,7,3,0,1,2,35
18,1,0,7,3,0,0,1,60
19,1,0,8,3,0,1,2,54
20,1,0,10,1,1,1,1,42
20,1,0,10,2,1,1,1,55
21,1,1,10,1,1,1,3,68
21,0,0,10,3,1,1,5,47
21,0,0,10,2,0,0,5,41
22,0,0,9,1,1,1,3,38
22,1,1,9,3,1,1,5,73
22,0,0,10,1,0,0,5,43
22,1,0,9,2,0,0,5,44
23,1,0,8,3,1,1,5,62
24,1,0,10,1,1,1,3,47
24,1,0,10,0,1,0,2,30
25,1,0,5,1,0,0,5,49
26,0,0,9,1,1,0,4,40
26,0,0,8,0,0,1,1,50
26,0,0,8,2,0,0,3,50
26,0,0,9,1,1,1,5,32
27,1,0,7,3,1,0,5,30
27,0,0,7,2,0,0,5,48
27,1,0,7,1,1,1,5,32
28,1,0,8,1,1,0,4,43
28,0,0,8,2,0,0,3,62
29,1,1,10,1,1,1,5,61
30,1,1,8,3,1,1,4,92
30,1,0,8,1,1,0,5,34
30,1,0,8,2,1,0,2,43
31,0,0,9,3,1,1,4,61
31,1,0,9,0,0,0,5,55
31,1,0,9,0,0,0,4,35
32,1,0,7,1,0,0,1,55
32,1,1,7,2,1,0,2,46
33,1,0,6,2,1,0,2,37
34,1,0,10,3,1,1,4,30
